imglink,infolink,name,city,country,lat,lng
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzQyZDE0MTRmMGU4NTMwYzkyNV8xMDUyNDMxN18xMDEwMDg1MDg0MzYzNDczNl8xODY5ODM0Nzg2NzY4OTQyMzIzX24uanBnIl0sWyJwIiwiY29udmVydCIsIiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA4MSAtYXV0by1vcmllbnQiXSxbInAiLCJ0aHVtYiIsIjYwMHg0MDAjIl1d,https://www.atlasobscura.com/places/boulders-beach-penguin-sanctuary,Boulders Beach Penguin Sanctuary,Cape Town,South Africa,-34.196486,18.450049
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzFlNGU1ZjQwYzViYTVjNzAwM18xNjU0Nzk4MjI1OV9jNGM5NTQ1NzhhX28uanBnIl0sWyJwIiwiY29udmVydCIsIiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA4MSAtYXV0by1vcmllbnQiXSxbInAiLCJ0aHVtYiIsIjYwMHg0MDAjIl1d/16547982259_c4c954578a_o.jpg,https://www.atlasobscura.com/places/bo-kaap,Bo Kaap,Cape Town,South Africa,-33.918223,18.414252
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2I4NGE3YzNmOWE1YjU2YjdiZl9BZGFtcy1DYWxlbmRhci5qcGciXSxbInAiLCJjb252ZXJ0IiwiIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDgxIC1hdXRvLW9yaWVudCJdLFsicCIsInRodW1iIiwiNjAweDQwMCMiXV0/Adams-Calendar.jpg,https://www.atlasobscura.com/places/adams-calendar,Adam's Calendar,Ehlanzeni,South Africa,-25.63185,30.759621
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzk3NjBhYWRjMzRhZmNkNWM0ZF9tYWNhc3NhcmJlYWNoMDcuanBnIl0sWyJwIiwiY29udmVydCIsIiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA4MSAtYXV0by1vcmllbnQiXSxbInAiLCJ0aHVtYiIsIjYwMHg0MDAjIl1d,https://www.atlasobscura.com/places/macassar-beach-pavilion,Macassar Beach Pavilion,Cape Town,South Africa,-34.076923,18.751891
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2YwYTE2ZDFkNDViMzI4Y2M0N19jdDUuanBnIl0sWyJwIiwiY29udmVydCIsIiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA4MSAtYXV0by1vcmllbnQiXSxbInAiLCJ0aHVtYiIsIjYwMHg0MDAjIl1d/ct5.jpg,https://www.atlasobscura.com/places/collectors-treasury,Collectors Treasury,Johannesburg,South Africa,-26.204076,28.055679
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzFhY2MyN2Q2NTY0YTQxMjg1NF9pc2xhbmRzZWFsczUuanBnIl0sWyJwIiwiY29udmVydCIsIiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA4MSAtYXV0by1vcmllbnQiXSxbInAiLCJ0aHVtYiIsIjYwMHg0MDAjIl1d,https://www.atlasobscura.com/places/seal-island,Seal Island,Cape Town,South Africa,-34.138147,18.582727
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2I1MGM4YTY5ZDM0ZmE0MzMwNl9hMWRhYTU5ZTc2LmpwZyJdLFsicCIsImNvbnZlcnQiLCIiXSxbInAiLCJjb252ZXJ0IiwiLXF1YWxpdHkgODEgLWF1dG8tb3JpZW50Il0sWyJwIiwidGh1bWIiLCI2MDB4NDAwIyJdXQ,https://www.atlasobscura.com/places/the-lost-city-of-heracleion-al-maadeyah-egypt,The Lost City of Heracleion,Alexandria,Egypt,31.348379,30.175936
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2QxNGFhOTllMmY2NWNjMjI4ZF9DYWlyb19OaWxvbWV0ZXJfMi5qcGciXSxbInAiLCJjb252ZXJ0IiwiIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDgxIC1hdXRvLW9yaWVudCJdLFsicCIsInRodW1iIiwiNjAweDQwMCMiXV0/Cairo_Nilometer_2.jpg,https://www.atlasobscura.com/places/nilometer,Nilometer,Cairo,Egypt,30.006965,31.22521
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2NjM2JhOWUwZGFiMzlkZTgwYl9hYnVzaW1iZWwwMS5qcGciXSxbInAiLCJjb252ZXJ0IiwiIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDgxIC1hdXRvLW9yaWVudCJdLFsicCIsInRodW1iIiwiNjAweDQwMCMiXV0,https://www.atlasobscura.com/places/the-temple-of-abu-simbel-egypt-nubia-egypt,The Temple of Abu Simbel,Nubia,Egypt,22.337107,31.625379
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzU2Yjg1MjA4NjJmY2FjZDZjOWFkMmYzMDk4NmQxZDhhYzY0NmRmOTQuanBnIl0sWyJwIiwiY29udmVydCIsIiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA4MSAtYXV0by1vcmllbnQiXSxbInAiLCJ0aHVtYiIsIjYwMHg0MDAjIl1d/56b8520862fcacd6c9ad2f30986d1d8ac646df94.jpg,https://www.atlasobscura.com/places/city-of-the-dead,City of the Dead,El-Saf,Egypt,29.7431,31.3011
